"cat01_code","男女別人口総数及び世帯総数","cat02_code","秘匿地域・合算地域有り","area_code","新潟県","unit","value"
"0010","人口総数","1","無し","15101","新潟市北区","人","76328"
"0010","人口総数","1","無し","151010010","新潟市北区水面","人","0"
"0010","人口総数","1","無し","151010020","新潟市北区太郎代","人","699"
"0010","人口総数","1","無し","151010030","新潟市北区島見町","人","2013"
"0010","人口総数","1","無し","151010040","新潟市北区白勢町","人","109"
"0010","人口総数","1","無し","151010050","新潟市北区新富町","人","109"
"0010","人口総数","1","無し","151010060","新潟市北区東栄町","人","0"
"0010","人口総数","1","無し","151010070","新潟市北区松栄町","人","71"
"0010","人口総数","1","無し","151010080","新潟市北区神谷内","人","508"
"0010","人口総数","1","無し","151010090","新潟市北区太夫浜","人","1832"
"0010","人口総数","1","無し","151010100","新潟市北区太夫浜新町","人","2338"
"0010","人口総数","1","無し","15101010001","新潟市北区太夫浜新町１丁目","人","1136"
"0010","人口総数","1","無し","15101010002","新潟市北区太夫浜新町２丁目","人","1202"
"0010","人口総数","1","無し","151010110","新潟市北区松浜町","人","391"
"0010","人口総数","1","無し","151010120","新潟市北区松浜東町","人","926"
"0010","人口総数","1","無し","15101012001","新潟市北区松浜東町１丁目","人","480"
"0010","人口総数","1","無し","15101012002","新潟市北区松浜東町２丁目","人","446"
"0010","人口総数","1","無し","151010130","新潟市北区松浜本町","人","1067"
"0010","人口総数","1","無し","15101013001","新潟市北区松浜本町１丁目","人","333"
"0010","人口総数","1","無し","15101013002","新潟市北区松浜本町２丁目","人","207"
"0010","人口総数","1","無し","15101013003","新潟市北区松浜本町３丁目","人","246"
"0010","人口総数","1","無し","15101013004","新潟市北区松浜本町４丁目","人","281"
"0010","人口総数","1","無し","151010140","新潟市北区松浜","人","5118"
"0010","人口総数","1","無し","15101014001","新潟市北区松浜１丁目","人","526"
"0010","人口総数","1","無し","15101014002","新潟市北区松浜２丁目","人","237"
"0010","人口総数","1","無し","15101014003","新潟市北区松浜３丁目","人","571"
"0010","人口総数","1","無し","15101014004","新潟市北区松浜４丁目","人","655"
"0010","人口総数","1","無し","15101014005","新潟市北区松浜５丁目","人","823"
"0010","人口総数","1","無し","15101014006","新潟市北区松浜６丁目","人","774"
"0010","人口総数","1","無し","15101014007","新潟市北区松浜７丁目","人","549"
"0010","人口総数","1","無し","15101014008","新潟市北区松浜８丁目","人","983"
"0010","人口総数","1","無し","151010150","新潟市北区松浜みなと","人","1053"
"0010","人口総数","1","無し","151010160","新潟市北区三軒屋町","人","440"
"0010","人口総数","1","無し","151010170","新潟市北区松浜新町","人","870"
"0010","人口総数","1","無し","151010180","新潟市北区西名目所","人","777"
"0010","人口総数","1","無し","151010190","新潟市北区新元島町","人","1313"
"0010","人口総数","1","無し","151010200","新潟市北区濁川","人","904"
"0010","人口総数","1","無し","151010210","新潟市北区濁川","人","584"
"0010","人口総数","1","無し","151010220","新潟市北区つくし野","人","1468"
"0010","人口総数","1","無し","15101022001","新潟市北区つくし野１丁目","人","864"
"0010","人口総数","1","無し","15101022002","新潟市北区つくし野２丁目","人","604"
"0010","人口総数","1","無し","151010230","新潟市北区新崎","人","328"
"0010","人口総数","1","無し","151010240","新潟市北区新崎","人","1317"
"0010","人口総数","1","無し","15101024001","新潟市北区新崎１丁目","人","388"
"0010","人口総数","1","無し","15101024002","新潟市北区新崎２丁目","人","758"
"0010","人口総数","1","無し","15101024003","新潟市北区新崎３丁目","人","171"
"0010","人口総数","1","無し","151010250","新潟市北区すみれ野","人","2413"
"0010","人口総数","1","無し","15101025001","新潟市北区すみれ野１丁目","人","772"
"0010","人口総数","1","無し","15101025002","新潟市北区すみれ野２丁目","人","768"
